City,Year,avg_city_temp
Abidjan,1849,25.582583333333336
Abidjan,1850,25.518250000000005
Abidjan,1851,25.672333333333338
Abidjan,1856,26.27733333333333
Abidjan,1857,25.16909090909091
Abidjan,1858,25.48675
Abidjan,1859,25.920916666666667
Abidjan,1860,25.464363636363636
Abidjan,1861,25.6718
Abidjan,1862,25.173499999999997
Abidjan,1873,25.6185
Abidjan,1874,25.681818181818183
Abidjan,1875,25.247833333333336
Abidjan,1876,25.144166666666663
Abidjan,1877,25.846500000000002
Abidjan,1878,25.87433333333333
Abidjan,1879,25.383999999999997
Abidjan,1880,25.957083333333333
Abidjan,1881,26.073333333333338
Abidjan,1882,25.68716666666667
Abidjan,1883,26.131333333333334
Abidjan,1884,26.366625
Abidjan,1885,26.0685
Abidjan,1886,25.47416666666666
Abidjan,1887,24.91175
Abidjan,1888,24.946166666666667
Abidjan,1889,25.121750000000002
Abidjan,1890,24.857499999999998
Abidjan,1891,25.109083333333334
Abidjan,1892,25.16725
Abidjan,1893,25.330916666666663
Abidjan,1894,25.040499999999998
Abidjan,1895,25.371166666666667
Abidjan,1896,25.33316666666667
Abidjan,1897,25.642166666666668
Abidjan,1898,25.47125000000001
Abidjan,1899,26.463666666666665
Abidjan,1900,26.118499999999997
Abidjan,1901,25.918249999999997
Abidjan,1902,25.58941666666667
Abidjan,1903,25.48175
Abidjan,1904,25.236916666666673
Abidjan,1905,25.783083333333334
Abidjan,1906,26.075583333333338
Abidjan,1907,25.685083333333335
Abidjan,1908,25.796750000000003
Abidjan,1909,25.56608333333334
Abidjan,1910,25.702166666666667
Abidjan,1911,25.414749999999998
Abidjan,1912,26.417
Abidjan,1913,26.325750000000003
Abidjan,1914,26.27716666666667
Abidjan,1915,26.28725
Abidjan,1916,26.131916666666665
Abidjan,1917,26.473333333333333
Abidjan,1918,25.932666666666673
Abidjan,1919,26.192583333333328
Abidjan,1920,26.324166666666667
Abidjan,1921,26.42025
Abidjan,1922,26.22916666666666
Abidjan,1923,25.962166666666665
Abidjan,1924,26.09216666666667
Abidjan,1925,26.09141666666667
Abidjan,1926,26.792999999999996
Abidjan,1927,26.230749999999997
Abidjan,1928,26.162916666666664
Abidjan,1929,26.50066666666667
Abidjan,1930,26.391416666666668
Abidjan,1931,26.43641666666667
Abidjan,1932,25.807333333333332
Abidjan,1933,26.545749999999998
Abidjan,1934,26.375083333333333
Abidjan,1935,26.152083333333337
Abidjan,1936,25.881666666666664
Abidjan,1937,26.53758333333333
Abidjan,1938,26.534583333333334
Abidjan,1939,25.84233333333334
Abidjan,1940,26.606083333333334
Abidjan,1941,26.77141666666667
Abidjan,1942,26.342250000000003
Abidjan,1943,26.06425
Abidjan,1944,26.55683333333333
Abidjan,1945,26.515416666666667
Abidjan,1946,26.250250000000005
Abidjan,1947,26.371083333333335
Abidjan,1948,26.147666666666666
Abidjan,1949,26.505999999999997
Abidjan,1950,26.195416666666663
Abidjan,1951,26.324750000000005
Abidjan,1952,26.2795
Abidjan,1953,26.244416666666666
Abidjan,1954,26.01108333333333
Abidjan,1955,26.02783333333333
Abidjan,1956,25.895166666666668
Abidjan,1957,26.276750000000003
Abidjan,1958,26.18641666666667
Abidjan,1959,26.38650000000001
Abidjan,1960,26.363833333333332
Abidjan,1961,26.252750000000002
Abidjan,1962,26.185083333333328
Abidjan,1963,26.551916666666667
Abidjan,1964,25.960000000000004
Abidjan,1965,25.97425
Abidjan,1966,26.447583333333338
Abidjan,1967,26.05116666666667
Abidjan,1968,26.287916666666664
Abidjan,1969,26.545749999999998
Abidjan,1970,26.510999999999996
Abidjan,1971,26.10466666666667
Abidjan,1972,26.282750000000004
Abidjan,1973,26.80333333333333
Abidjan,1974,26.212166666666665
Abidjan,1975,26.118416666666672
Abidjan,1976,25.841916666666666
Abidjan,1977,26.40025
Abidjan,1978,26.161916666666666
Abidjan,1979,26.665666666666667
Abidjan,1980,26.47075
Abidjan,1981,26.425416666666667
Abidjan,1982,26.17125
Abidjan,1983,26.662916666666664
Abidjan,1984,26.63508333333333
Abidjan,1985,26.296083333333332
Abidjan,1986,26.35375
Abidjan,1987,27.261166666666668
Abidjan,1988,26.783666666666665
Abidjan,1989,26.649666666666665
Abidjan,1990,26.59925
Abidjan,1991,26.517583333333334
Abidjan,1992,26.36425
Abidjan,1993,26.56175
Abidjan,1994,26.566833333333335
Abidjan,1995,26.87483333333333
Abidjan,1996,26.583333333333332
Abidjan,1997,26.539916666666667
Abidjan,1998,27.16333333333333
Abidjan,1999,26.696250000000003
Abidjan,2000,26.753083333333336
Abidjan,2001,26.693583333333333
Abidjan,2002,26.840999999999998
Abidjan,2003,27.05066666666667
Abidjan,2004,26.986000000000004
Abidjan,2005,26.976583333333327
Abidjan,2006,26.988083333333332
Abidjan,2007,27.006833333333333
Abidjan,2008,26.944499999999994
Abidjan,2009,26.982
Abidjan,2010,27.445416666666663
Abidjan,2011,27.017583333333334
Abidjan,2012,26.766333333333332
Abidjan,2013,27.228499999999997
Addis Abeba,1850,16.86481818181818
Addis Abeba,1859,16.922800000000002
Addis Abeba,1864,16.9375
Addis Abeba,1875,16.312875
Addis Abeba,1876,16.830833333333334
Addis Abeba,1877,17.44125
Addis Abeba,1878,17.650000000000002
Addis Abeba,1880,17.27663636363636
Addis Abeba,1881,17.612272727272725
Addis Abeba,1882,17.159333333333333
Addis Abeba,1883,16.92716666666667
Addis Abeba,1884,16.78308333333333
Addis Abeba,1885,17.050083333333333
Addis Abeba,1886,17.087083333333332
Addis Abeba,1887,16.820249999999998
Addis Abeba,1888,16.813750000000002
Addis Abeba,1889,17.367333333333335
Addis Abeba,1890,17.369416666666666
Addis Abeba,1891,17.18216666666667
Addis Abeba,1892,17.049333333333333
