Country,State,Year,Month,PredictedTemp
0,19,2013,9,7.580999999999962
0,19,2013,10,7.580999999999962
0,19,2013,11,7.580999999999962
0,19,2013,12,7.580999999999962
0,19,2014,1,7.580999999999962
0,19,2014,2,7.580999999999962
0,19,2014,3,7.580999999999962
0,19,2014,4,7.580999999999962
0,19,2014,5,7.580999999999962
0,19,2014,6,7.580999999999962
0,19,2014,7,7.580999999999962
0,19,2014,8,7.580999999999962
0,139,2013,9,12.635995999999976
0,139,2013,10,12.635995999999976
0,139,2013,11,12.635995999999976
0,139,2013,12,12.635995999999976
0,139,2014,1,12.635995999999976
0,139,2014,2,12.635995999999976
0,139,2014,3,12.635995999999976
0,139,2014,4,12.635995999999976
0,139,2014,5,12.635995999999976
0,139,2014,6,12.635995999999976
0,139,2014,7,12.635995999999976
0,139,2014,8,12.635995999999976
0,147,2013,9,21.466999999999967
0,147,2013,10,21.466999999999967
0,147,2013,11,21.466999999999967
0,147,2013,12,21.466999999999967
0,147,2014,1,21.466999999999967
0,147,2014,2,21.466999999999967
0,147,2014,3,21.466999999999967
0,147,2014,4,21.466999999999967
0,147,2014,5,21.466999999999967
0,147,2014,6,21.466999999999967
0,147,2014,7,21.466999999999967
0,147,2014,8,21.466999999999967
0,171,2013,9,19.125
0,171,2013,10,19.125
0,171,2013,11,19.125
0,171,2013,12,19.125
0,171,2014,1,19.125
0,171,2014,2,19.125
0,171,2014,3,19.125
0,171,2014,4,19.125
0,171,2014,5,19.125
0,171,2014,6,19.125
0,171,2014,7,19.125
0,171,2014,8,19.125
0,194,2013,9,15.28499999999995
0,194,2013,10,15.28499999999995
0,194,2013,11,15.28499999999995
0,194,2013,12,15.28499999999995
0,194,2014,1,15.28499999999995
0,194,2014,2,15.28499999999995
0,194,2014,3,15.28499999999995
0,194,2014,4,15.28499999999995
0,194,2014,5,15.28499999999995
0,194,2014,6,15.28499999999995
0,194,2014,7,15.28499999999995
0,194,2014,8,15.28499999999995
0,201,2013,9,8.593000000000023
0,201,2013,10,8.592996000000024
0,201,2013,11,8.592988000000025
0,201,2013,12,8.592988000000025
0,201,2014,1,8.593004000000024
0,201,2014,2,8.593012000000025
0,201,2014,3,8.593012000000023
0,201,2014,4,8.593012000000025
0,201,2014,5,8.593000000000023
0,201,2014,6,8.593000000000023
0,201,2014,7,8.593000000000025
0,201,2014,8,8.593000000000023
0,221,2013,9,10.678000000000015
0,221,2013,10,10.678000000000015
0,221,2013,11,10.677996000000014
0,221,2013,12,10.677988000000013
0,221,2014,1,10.677992000000012
0,221,2014,2,10.677992000000012
0,221,2014,3,10.677992000000012
0,221,2014,4,10.677992000000012
0,221,2014,5,10.677992000000012
0,221,2014,6,10.677992000000012
0,221,2014,7,10.677992000000012
0,221,2014,8,10.677992000000012
0,230,2013,9,18.33700000000004
0,230,2013,10,18.33700000000004
0,230,2013,11,18.33700000000004
0,230,2013,12,18.33700000000004
0,230,2014,1,18.33700000000004
0,230,2014,2,18.33700000000004
0,230,2014,3,18.33700000000004
0,230,2014,4,18.33700000000004
0,230,2014,5,18.33700000000004
0,230,2014,6,18.33700000000004
0,230,2014,7,18.33700000000004
0,230,2014,8,18.33700000000004
1,0,2013,9,25.37799999999994
1,0,2013,10,25.37799999999994
1,0,2013,11,25.37799999999994
1,0,2013,12,25.37799999999994
1,0,2014,1,25.37799999999994
1,0,2014,2,25.37799999999994
1,0,2014,3,25.37799999999994
1,0,2014,4,25.37799999999994
1,0,2014,5,25.37799999999994
1,0,2014,6,25.37799999999994
1,0,2014,7,25.37799999999994
1,0,2014,8,25.37799999999994
1,4,2013,9,23.641999999999904
1,4,2013,10,23.641999999999904
1,4,2013,11,23.641999999999904
1,4,2013,12,23.641999999999904
1,4,2014,1,23.641999999999904
1,4,2014,2,23.641999999999904
1,4,2014,3,23.641999999999904
1,4,2014,4,23.641999999999904
1,4,2014,5,23.641999999999904
1,4,2014,6,23.641999999999904
1,4,2014,7,23.641999999999904
1,4,2014,8,23.641999999999904
1,8,2013,9,26.74399999999991
1,8,2013,10,26.74399999999991
1,8,2013,11,26.74399999999991
1,8,2013,12,26.74399999999991
1,8,2014,1,26.74399999999991
1,8,2014,2,26.74399999999991
1,8,2014,3,26.74399999999991
1,8,2014,4,26.74399999999991
1,8,2014,5,26.74399999999991
1,8,2014,6,26.74399999999991
1,8,2014,7,26.74399999999991
1,8,2014,8,26.74399999999991
1,20,2013,9,23.966000000000058
1,20,2013,10,23.966000000000058
1,20,2013,11,23.966000000000058
1,20,2013,12,23.966000000000058
1,20,2014,1,23.966000000000058
1,20,2014,2,23.966000000000058
1,20,2014,3,23.966000000000058
