Country,avg_country_temp,avg_city_temp
Senegal,27.967375000000036,24.62752029914527
Sudan,27.100130536130507,29.099991258741223
Somalia,26.877085169743935,27.151963668850545
Nigeria,26.744708309122636,26.364113499903198
Singapore,26.523102826510698,26.523102826510698
Philippines,26.44047248677245,26.48771164021164
Thailand,25.986800979519128,27.164733303650955
Côte D'Ivoire,25.974999437253796,26.163737197523968
Indonesia,25.6844837679617,26.659056945183604
Dominican Republic,25.555986859990963,25.976776619845918
Saudi Arabia,25.542327941560174,26.43529506913648
Bangladesh,24.820242783708984,25.49650177935943
Colombia,24.73212615538332,20.89224806395209
Brazil,24.730598896120085,22.847555235192374
Kenya,24.1027026221692,16.08139511323004
India,23.879809207293945,25.809433141635065
Congo (Democratic Republic Of The),23.783468110005796,23.87144177881803
Burma,23.70619723953691,26.7657128227961
Vietnam,23.6961532141131,27.193983566940545
Ethiopia,23.012356759976193,17.525072662298964
Egypt,22.62069303121008,20.938465583582776
Tanzania,22.351924968474144,25.7446715006305
Taiwan,21.937427536231905,22.20984637681165
Angola,21.824549189814842,23.693624999999972
Iraq,21.77562887931033,22.614345689655153
Australia,21.622139745916517,15.213877365828365
Zimbabwe,21.133719526627235,20.207842011834323
Pakistan,20.617215746753242,24.77934204545456
Mexico,20.56755804195802,15.717422377622361
Peru,19.964498356344524,16.769119658119678
Syria,17.917548596990642,17.35888938592927
Morocco,17.627497409326434,17.177551813471506
Iran,17.607076451156217,12.593995752713525
South Africa,17.270982915109435,18.21518579818471
Afghanistan,14.045007194244615,14.343567386091113
Spain,13.612834175615896,11.448704042956392
France,12.772445672773205,10.402644346178128
Italy,12.737121920404313,11.965501895135823
Japan,11.973619999999954,13.658246913580241
South Korea,11.849048745173722,10.69163658301158
Turkey,11.63156730091613,13.743113225276046
Chile,9.383473684210523,5.692276842105253
United States,8.650235989050573,11.559062527013383
United Kingdom,8.489325331648784,9.459037902716338
Germany,8.152496209728376,8.916233733417537
Ukraine,7.653507264687311,7.041032849020818
China,6.633032437333626,11.876535230629752
Canada,-5.216658945686893,5.166856629392969
Russia,-5.52188191268191,4.036499168399165
